City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
629,Karratha,AU,25.23,clear sky,-20.74,116.85,ibis Styles Karratha
631,Balsas,BR,29.84,broken clouds,-7.53,-46.04,Novo Hotel
632,Maragogi,BR,24.03,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
640,Myrtle beach,US,21.16,scattered clouds,33.69,-78.89,Bay View Resort Myrtle Beach
641,Timbiqui,CO,24.77,light rain,2.77,-77.67,hotel diana
642,Cockburn town,BS,28.53,clear sky,21.46,-71.14,Osprey Beach Hotel
644,Jining,CN,20.44,heavy intensity rain,35.41,116.58,Yunhe Star Hotel
648,Gemena,CD,20.28,overcast clouds,3.25,19.77,Hôtel Goshen
649,Kalmunai,LK,26.37,overcast clouds,7.42,81.82,VS Villa
652,Bathsheba,BB,27.34,scattered clouds,13.22,-59.52,Atlantis Hotel
655,Ken caryl,US,28.65,few clouds,39.58,-105.12,Hampton Inn & Suites Denver Littleton
659,Emerald,AU,26.3,clear sky,-23.53,148.17,The Irish Village
661,Bolong,PH,28.0,broken clouds,7.1,122.24,Pitas Beach
663,Bintulu,MY,27.23,few clouds,3.17,113.03,900 Boutique INN
667,Vila franca do campo,PT,21.78,overcast clouds,37.72,-25.43,Pestana Bahia Praia
669,Buraydah,SA,27.25,clear sky,26.33,43.98,فندق راحة السلام
670,Acarau,BR,26.13,few clouds,-2.89,-40.12,castelo pizzaria
671,Morden,CA,25.24,overcast clouds,49.19,-98.1,Morden Motor Inn
672,Jerome,US,29.46,clear sky,42.72,-114.52,Best Western Sawtooth Inn & Suites
676,Manicore,BR,23.74,broken clouds,-5.81,-61.3,Pousada da wanda
679,Campo formoso,BR,21.25,broken clouds,-10.51,-40.32,Hotel Rio das Pedras
681,Linguere,SN,29.12,scattered clouds,15.4,-15.12,AYO Casablanca
683,Byron bay,AU,23.36,overcast clouds,-28.65,153.62,Backpackers Inn on the Beach
686,Callaguip,PH,29.01,few clouds,18.07,120.49,Pangil Beach Resort
687,Murwillumbah,AU,25.41,scattered clouds,-28.32,153.4,Murwillumbah Motor Inn
690,La palma,PA,30.45,broken clouds,33.85,-118.05,"Levar & Ryan Properties, LLC."
697,Semnan,IR,22.0,clear sky,35.57,53.4,Semnan Tourist Hotel
698,Bac lieu,VN,26.79,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
700,Fare,PF,26.26,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
702,Asuncion,PY,20.69,clear sky,-25.3,-57.64,Excelsior Inn
705,Estelle,US,26.0,clear sky,29.85,-90.11,Comfort Inn Marrero - New Orleans West
708,Tamiahua,MX,25.43,clear sky,21.27,-97.45,Mission Of The Sun Hotel
714,Pahrump,US,33.39,few clouds,36.21,-115.98,Best Western Pahrump Oasis
715,Vung tau,VN,26.65,overcast clouds,10.35,107.08,The Rex Hotel
716,Belmonte,BR,23.28,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
717,Acandi,CO,25.55,overcast clouds,8.51,-77.28,Hotel Patio Bonito
725,Coahuayana,MX,25.71,overcast clouds,18.73,-103.68,El rranchito michuacan de ocampos
726,Miracema do tocantins,BR,27.72,scattered clouds,-9.56,-48.4,Miami Apart Hotel
728,Mayo,CA,20.05,overcast clouds,38.89,-76.51,Resorts Resource Group International
729,Ewa beach,US,30.97,light rain,21.32,-158.01,Uncle Junior Robert
734,Bangarmau,IN,25.95,overcast clouds,26.9,80.22,White House
737,Boa vista,BR,29.99,few clouds,2.82,-60.67,Aipana Plaza Hotel
738,Kattivakkam,IN,26.05,overcast clouds,13.22,80.32,Euronova Freezer
739,Charters towers,AU,27.73,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
740,Caloundra,AU,25.2,overcast clouds,-26.8,153.13,Watermark Resort Caloundra
743,Nouadhibou,MR,20.99,clear sky,20.93,-17.03,El Medina
747,San pedro de uraba,CO,24.16,overcast clouds,8.28,-76.38,Hotel La Gran Manzana
748,Soure,BR,26.88,overcast clouds,-0.72,-48.52,Casarão da Amazônia
753,Praya,ID,26.3,scattered clouds,14.92,-23.51,LT Aparthotel
756,Natal,BR,26.36,broken clouds,-5.79,-35.21,Hotel Natal
762,Honiara,SB,29.84,broken clouds,-9.43,159.95,Heritage Park Hotel
