City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Kemijarvi,FI,2021-09-21 05:09:28,66.7131,27.4306,32.67,87,20,4.23
269,Tabou,CI,2021-09-21 05:09:28,4.423,-7.3528,76.03,89,31,6.53
270,Komsomolets,KZ,2021-09-21 05:09:28,53.7453,62.0708,42.39,67,46,6.98
271,Brigantine,US,2021-09-21 05:09:29,39.4101,-74.3646,68.05,94,20,0.0
272,San Angelo,US,2021-09-21 05:08:17,31.4638,-100.437,84.42,39,20,4.61
273,Benjamin Hill,MX,2021-09-21 05:09:30,30.1667,-111.1,80.94,53,19,2.84
274,Itoman,JP,2021-09-21 05:09:31,26.1247,127.6694,88.57,70,20,5.75
275,Grindavik,IS,2021-09-21 05:09:31,63.8424,-22.4338,45.07,93,90,18.41
276,Matagami,CA,2021-09-21 05:09:31,49.7502,-77.6328,60.76,56,100,12.88
277,Akdepe,TM,2021-09-21 05:09:32,42.0551,59.3788,60.8,14,0,15.57
278,Hamilton,US,2021-09-21 05:09:32,39.1834,-84.5333,69.19,94,20,0.0
279,Bonthe,SL,2021-09-21 05:09:33,7.5264,-12.505,76.96,90,95,5.64
280,Sumisip,PH,2021-09-21 05:09:33,6.4197,121.9714,83.77,70,98,5.7
281,Vanavara,RU,2021-09-21 05:09:34,60.34,102.2797,43.72,66,97,10.2
282,Wang Noi,TH,2021-09-21 05:09:35,14.2269,100.7155,85.96,90,100,5.26
283,Port Augusta,AU,2021-09-21 05:09:35,-32.5,137.7667,60.94,42,20,17.74
284,San Policarpo,PH,2021-09-21 05:09:36,12.1791,125.5072,83.97,73,27,9.93
285,Adrar,MR,2021-09-21 05:05:05,20.5022,-10.0711,84.42,23,0,14.41
286,Cayenne,GF,2021-09-21 05:09:38,4.9333,-52.3333,75.24,100,40,0.0
287,Bowen,AU,2021-09-21 05:09:38,-20.0167,148.2333,81.48,49,38,10.11
288,Sao Desiderio,BR,2021-09-21 05:09:39,-12.3633,-44.9733,72.03,38,71,3.02
289,Verkhoyansk,RU,2021-09-21 05:09:39,67.5447,133.385,43.57,55,100,4.52
290,Zhigansk,RU,2021-09-21 05:09:40,66.7697,123.3711,42.66,55,99,7.49
291,Naze,JP,2021-09-21 05:09:41,28.3667,129.4833,79.97,63,0,4.34
292,Ayr,GB,2021-09-21 05:09:41,55.4627,-4.6339,55.38,94,40,8.05
293,Bilma,NE,2021-09-21 05:09:42,18.6853,12.9164,82.02,16,3,5.39
